State,ListIndex,RepIndex,V_applied,PulseDur_s,U_out_immediate,I_immediate,R_immediate,R_before,G_before,R_after_1s,G_after_1s,I_after_1s,R_after_5s,G_after_5s,I_after_5s,R_after_10s,G_after_10s,I_after_10s,time_stamp,T_immediate,U_after_1s,T_after_1s,U_after_5s,T_after_5s,U_after_10s,T_after_10s
reset,0,0,0.2,0.1,0.1999716,2.875e-06,69555.34,68661.08,1.456429173558e-05,69399.4,1.44093464784998e-05,2.8811e-06,69324.8,1.44248522895126e-05,2.8842e-06,69298.41,1.44303455158639e-05,2.8853e-06,2025-11-06 16:31:24,0,0.1999466,0,0.1999466,0,0.1999467,0
set,0,0,0.893,0.1,0.889632,9.72215e-05,9150.569,69298.41,1.44303455158639e-05,9757.98,0.000102480226440308,2.0488e-05,9755.78,0.000102503336483603,2.04926e-05,9846.318,0.000101560806790924,2.03042e-05,2025-11-06 16:31:36,0,0.1999215,0,0.1999213,0,0.1999216,0
reset,0,0,0.2,0.1,0.199971,2.0718e-05,9652.042,9846.318,0.000101560806790924,9834.257,0.00010168536372397,2.03291e-05,9836.817,0.000101658900434968,2.03238e-05,9810.755,0.000101928954499424,2.03778e-05,2025-11-06 16:31:47,0,0.1999216,0,0.1999215,0,0.1999216,0
set,0,0,0.229,0.1,0.22891,2.33372e-05,9808.803,9810.755,0.000101928954499424,9825.021,0.000101780952936386,2.03482e-05,9815.379,0.000101880936029062,2.03682e-05,9813.259,0.000101902945800167,2.03726e-05,2025-11-06 16:31:58,0,0.1999215,0,0.1999216,0,0.1999216,0
set,0,0,0.385,0.1,0.384856,3.90878e-05,9845.937,9813.259,0.000101902945800167,10093.31,9.90755262644266e-05,1.98074e-05,10094.84,9.90605101220029e-05,1.98044e-05,10092.86,9.9079943643328e-05,1.98083e-05,2025-11-06 16:32:09,0,0.1999223,0,0.1999223,0,0.1999223,0
reset,0,0,1.2,0.1,1.198849,4.5379e-05,26418.59,10092.86,9.9079943643328e-05,40447.33,2.47235107978697e-05,4.9433e-06,37982.45,2.63279488289987e-05,5.2641e-06,37387.16,2.67471506260438e-05,5.3479e-06,2025-11-06 16:32:20,0,0.1999433,0,0.1999434,0,0.1999428,0
reset,0,0,1.3,0.1,1.299016,3.6315e-05,35770.78,37387.16,2.67471506260438e-05,95545.37,1.04662319063708e-05,2.0927e-06,99506.22,1.00496230285906e-05,2.0094e-06,95322.13,1.0490743335257e-05,2.0976e-06,2025-11-06 16:32:31,0,0.1999478,0,0.1999478,0,0.1999477,0
reset,0,0,0.6,0.1,0.599794,1.0468e-05,57297.86,95322.13,1.0490743335257e-05,93046.54,1.07473098945968e-05,2.1489e-06,98554.71,1.01466484960485e-05,2.0288e-06,98114.63,1.01921599255891e-05,2.0379e-06,2025-11-06 16:32:42,0,0.1999477,0,0.1999478,0,0.1999478,0
set,0,0,1.076,0.1,0.93044,9.99184e-05,9311.999,98114.63,1.01921599255891e-05,9217.052,0.000108494559865779,2.16902e-05,9210.725,0.000108569086581132,2.17051e-05,9216.792,0.000108497620430189,2.16908e-05,2025-11-06 16:32:53,0,0.1999197,0,0.1999197,0,0.1999196,0
set,0,0,0.053,0.1,0.052979,5.3357e-06,9929.156,9216.792,0.000108497620430189,9215.22,0.000108516128752216,2.16945e-05,9214.329,0.00010852662196021,2.16966e-05,9224.83,0.000108403081682806,2.16719e-05,2025-11-06 16:33:04,0,0.1999196,0,0.1999196,0,0.1999196,0
set,0,0,1.076,0.1,0.89836,9.99457e-05,8988.481,9224.83,0.000108403081682806,9054.717,0.000110439674702147,2.2079e-05,9061.859,0.000110352632942093,2.20616e-05,9036.826,0.000110658321848844,2.21227e-05,2025-11-06 16:33:15,0,0.1999191,0,0.1999191,0,0.199919,0
set,0,0,0.952,0.1,0.908153,9.92084e-05,9153.993,9036.826,0.000110658321848844,10486.56,9.536015623808e-05,1.90647e-05,10512.38,9.51259372282966e-05,1.90179e-05,10499.4,9.52435377259653e-05,1.90414e-05,2025-11-06 16:33:26,0,0.1999232,0,0.1999233,0,0.1999233,0
reset,0,0,1.4,0.1,1.398069,4.478e-05,31220.84,10499.4,9.52435377259653e-05,76687.42,1.30399484035322e-05,2.6073e-06,75617.2,1.32245044778172e-05,2.6442e-06,74721.36,1.33830540557613e-05,2.6759e-06,2025-11-06 16:33:37,0,0.1999471,0,0.199947,0,0.1999469,0
