CircleNum,LoopNum,IterNum,PulseRole,V_applied,PulseDur_s_col,U_out_immediate,I_immediate,R_immediate,T_immediate,R_before,G_before,R_after_1s,G_after_1s,I_after_1s,U_after_1s,T_after_1s,R_after_5s,G_after_5s,I_after_5s,U_after_5s,T_after_5s,R_after_10s,G_after_10s,I_after_10s,U_after_10s,T_after_10s,time_stamp
1,1,1,fixed_reset,1.5,0.001,1.498745,4.0108e-05,37367.73,0,133852.5,7.47091014362825e-06,129366.3,7.72998841274737e-06,1.5456e-06,0.1999485,0,129432.9,7.72601092921506e-06,1.5448e-06,0.199948,0,133995.8,7.46292047959712e-06,1.4922e-06,0.1999486,0,2026-06-22 10:37:36
1,1,1,sweep_set,0.1,0.001,0.0999743,6.589e-07,151729.1,0,133995.8,7.46292047959712e-06,133289.8,7.502449549778e-06,1.5001e-06,0.1999481,0,139240.0,7.18184429761563e-06,1.436e-06,0.1999486,0,139599.7,7.16333917623032e-06,1.4323e-06,0.1999486,0,2026-06-22 10:37:47
1,1,2,sweep_set,0.2,0.001,0.1999481,1.8897e-06,105809.4,0,106321.4,9.40544424734814e-06,108373.0,9.22739058621612e-06,1.845e-06,0.1999481,0,108156.1,9.24589551583313e-06,1.8487e-06,0.1999481,0,116343.7,8.59522260337259e-06,1.7186e-06,0.1999483,0,2026-06-22 10:38:09
1,1,3,fixed_reset,1.5,0.001,1.498737,3.9411e-05,38028.39,0,116343.7,8.59522260337259e-06,135549.2,7.3773950713099e-06,1.4751e-06,0.1999486,0,144284.0,6.93077541515345e-06,1.3858e-06,0.1999487,0,143393.7,6.97380707799576e-06,1.3944e-06,0.1999482,0,2026-06-22 10:38:20
1,1,3,sweep_set,0.3,0.001,0.299923,2.1194e-06,141513.2,0,143393.7,6.97380707799576e-06,155083.2,6.4481517017962e-06,1.2893e-06,0.1999488,0,146762.2,6.81374359337759e-06,1.3624e-06,0.1999488,0,149841.4,6.67372301646941e-06,1.3344e-06,0.1999483,0,2026-06-22 10:38:31
1,1,4,fixed_reset,1.5,0.001,1.498746,3.5805e-05,41858.57,0,149841.4,6.67372301646941e-06,113265.8,8.82879033212143e-06,1.7653e-06,0.1999481,0,121919.7,8.2021199199145e-06,1.64e-06,0.1999483,0,120931.6,8.26913726437093e-06,1.6534e-06,0.1999483,0,2026-06-22 10:38:42
1,1,5,sweep_set,0.5,0.001,0.499869,5.2743e-06,94774.47,0,156638.0,6.38414688645156e-06,135429.8,7.38389925998562e-06,1.4764e-06,0.1999486,0,134600.1,7.42941498557579e-06,1.4855e-06,0.1999485,0,138998.0,7.19434812011684e-06,1.4385e-06,0.1999486,0,2026-06-22 10:39:15
1,1,7,fixed_reset,1.5,0.001,1.498678,4.2183e-05,35528.01,0,61149.37,1.63533982443319e-05,224309.4,4.45812792508919e-06,8.914e-07,0.1999494,0,208128.7,4.80471938757125e-06,9.607e-07,0.1999492,0,220232.8,4.54064971248606e-06,9.079e-07,0.1999494,0,2026-06-22 10:39:48
1,1,8,fixed_reset,1.5,0.001,1.498621,4.259e-05,35187.16,0,31022.3,3.2234876201958e-05,181376.2,5.51340253021069e-06,1.1024e-06,0.1999491,0,183641.6,5.44538927998885e-06,1.0888e-06,0.199949,0,181821.5,5.49989962683181e-06,1.0997e-06,0.1999491,0,2026-06-22 10:40:10
1,1,9,fixed_reset,1.5,0.001,1.498681,4.3826e-05,34196.16,0,64469.72,1.55111577962492e-05,133816.1,7.47294234400793e-06,1.4942e-06,0.199948,0,134328.9,7.44441441863962e-06,1.4885e-06,0.1999486,0,141306.5,7.07681529158248e-06,1.415e-06,0.1999487,0,2026-06-22 10:40:32
1,1,9,sweep_set,0.9,0.001,0.899694,7.8761e-05,11423.09,0,141306.5,7.07681529158248e-06,18843.05,5.30699647880784e-05,1.06106e-05,0.1999361,0,18833.48,5.30969316345147e-05,1.0616e-05,0.1999362,0,18506.42,5.40353023437272e-05,1.08036e-05,0.199936,0,2026-06-22 10:40:43
1,1,10,sweep_set,1.0,0.001,0.895711,9.95358e-05,8998.883,0,232715.7,4.29708867944879e-06,8829.564,0.000113255875375,2.26419e-05,0.1999181,0,8879.908,0.0001126137793319,2.25136e-05,0.1999187,0,9076.061,0.00011017995582,2.20271e-05,0.1999193,0,2026-06-22 10:41:05
1,1,11,sweep_set,1.1,0.001,0.928082,9.9908e-05,9289.366,0,232986.9,4.29208680831412e-06,11163.88,8.95745923460302e-05,1.79082e-05,0.199925,0,11157.83,8.96231614928709e-05,1.79179e-05,0.1999248,0,11125.11,8.98867516815564e-05,1.79706e-05,0.1999249,0,2026-06-22 10:41:27
1,1,12,fixed_reset,1.5,0.001,1.498128,5.0175e-05,29858.06,0,11125.11,8.98867516815564e-05,147075.2,6.79924283631775e-06,1.3595e-06,0.1999487,0,143920.5,6.94828047428963e-06,1.3893e-06,0.1999487,0,142200.9,7.03230429624566e-06,1.4061e-06,0.1999487,0,2026-06-22 10:41:38
1,1,12,sweep_set,1.2,0.001,0.863821,9.99245e-05,8644.737,0,142200.9,7.03230429624566e-06,8143.065,0.0001228038828131,2.45504e-05,0.1999155,0,8140.366,0.0001228445993705,2.45586e-05,0.199916,0,8144.91,0.0001227760650516,2.45449e-05,0.199916,0,2026-06-22 10:41:49
1,1,13,sweep_set,1.3,0.001,0.895661,9.99359e-05,8962.355,0,144732.9,6.90927909272874e-06,8601.686,0.0001162562781296,2.32417e-05,0.1999178,0,8603.866,0.0001162268217566,2.32358e-05,0.1999177,0,8594.508,0.0001163533735729,2.32611e-05,0.1999177,0,2026-06-22 10:42:11
1,1,14,fixed_reset,1.5,0.001,1.497723,3.8606e-05,38795.08,0,8594.508,0.0001163533735729,204971.0,4.87873894355787e-06,9.755e-07,0.1999492,0,187008.1,5.34736195918786e-06,1.0692e-06,0.1999491,0,185947.3,5.37786781523582e-06,1.0753e-06,0.1999491,0,2026-06-22 10:42:22
