n_samples,mean_crps,overall_std,n_measurements,total_valid_crps,shuffle_run1_mean,shuffle_run2_mean,shuffle_run3_mean,shuffle_run4_mean,shuffle_run5_mean,mean_crps_set,overall_std_set,total_valid_crps_set,mean_crps_reset,overall_std_reset,total_valid_crps_reset
8,17.692723036064503,20.11558701200063,439,2195,18.707462849231106,15.593652290406448,15.801546316841517,23.097755722012373,15.263198001831082,21.905322312911935,22.236840899806904,1185,12.750217943921728,15.936783180684282,1010
12,11.72307120613055,14.91393578362081,439,2195,8.231884974593559,9.081809898329343,14.459496017816152,12.65328937637737,14.188875763536325,15.779105024066252,18.156717830420703,1185,6.964259251423809,7.392903182196972,1010
16,14.290632314092633,18.939003338571876,439,2195,14.35527797952208,14.932931163700477,14.303875518689043,14.79044147647359,13.070635432077971,19.07866458744342,22.9738583768571,1185,8.67299048842859,10.090418045433145,1010
20,7.021102917439033,8.852223024398048,439,2195,9.142371052428516,5.58786425003444,7.859439263406544,6.7736481805313895,5.742191840794278,8.136812872809912,10.147006167230101,1185,5.712076880692014,6.8062891876772476,1010
25,8.10783589407378,9.9596916545509,439,2195,7.056915600805272,7.832487669831184,11.255244709280829,8.690491260018453,5.704040230433157,9.412263405066449,11.368007250019863,1185,6.577393715334855,7.721168474122695,1010
32,5.808908117122035,7.3144242617788295,439,2195,5.952227950152604,5.6346013800438834,5.609224583283975,5.880520905967383,5.967965766162329,6.891994525724287,9.087156950480479,1185,4.53815822188078,4.049221045858123,1010
40,5.648994884740605,7.352752337737931,439,2195,5.536710506841724,5.6231743917064305,5.697097751056669,5.817449512435785,5.570542261662416,6.8447484431170835,9.03039150761151,1185,4.246056303873152,4.26261709479439,1010
50,8.016293870653305,8.993491645672696,439,2195,11.840559788391335,5.72149182706268,6.12254354728776,8.54557582720231,7.85129836332244,8.449916604720707,9.78163142958226,1185,7.507538484643534,7.939906859472267,1010
63,6.423918694600239,8.267939215056897,439,2195,7.285426822838755,6.307053940578566,6.042963346717548,6.070589002526294,6.413560360340031,7.171182351348502,9.903426567721722,1185,5.5471786616827226,5.66273895484394,1010
80,6.138775511533128,7.588752012353245,439,2195,6.019270203601582,6.105407017622836,6.1660490011307125,6.051193001672562,6.351958333637947,7.273940998115007,9.197623885112517,1185,4.806922935692012,4.755719907747842,1010
100,6.149406588368986,7.695430054352725,439,2195,6.082625886257107,5.813416885263175,7.039602954453695,6.26460520327631,5.546782012594641,7.126990473464741,9.31280333497154,1185,5.002439356845749,4.950539223883086,1010
125,5.416800295778697,7.307013687061141,439,2195,5.337827649194207,5.5582085387435,5.487267682195768,5.415770885826247,5.284926722933761,6.41408397801634,8.728615920093088,1185,4.246719935925621,4.9102261031183625,1010
160,5.339321300924944,7.608304733389631,439,2195,5.217813849370719,5.390990967737737,5.465017375368328,5.323074192747378,5.299710119400557,6.362857581888056,9.110692819874876,1185,4.13843962474545,5.073895293457849,1010
200,5.33925768067952,7.520674900257457,439,2195,5.219350913128997,5.538955949121321,5.542526348510104,5.122665777084178,5.272789415553004,6.1747278789215985,8.739589760545652,1185,4.35902779462322,5.614867044262032,1010
250,5.157214981831249,6.485497951055738,439,2195,5.143054556327747,5.218779649906216,5.1779484425717905,4.977048405418826,5.269243854931666,5.980349546515951,7.608379988328933,1185,4.1914580915823665,4.66542597315538,1010
316,5.108843565261365,6.8267427795206395,439,2195,5.063557510231191,4.962470191321984,5.155231120089678,5.251843533016292,5.111115471647681,6.105201776286903,8.202094067333048,1185,3.9398490305432827,4.452165518754642,1010
400,5.005040057005159,6.746845082758161,439,2195,5.132674255870491,5.065218968035025,4.967272455594226,4.93255999574186,4.927474609784193,5.756677265628936,7.929311103529033,1185,4.123168678570331,4.870156794547453,1010
500,4.760925679593194,6.405301857862218,439,2195,4.693326228775406,4.714746971810056,4.678096453154962,4.890883789173372,4.827574955052171,5.6022745151280615,7.674232166260246,1185,3.773798580475552,4.2733384302421635,1010
